lga,postcode
Albany,6324
Albany,6326
Albany,6327
Albany,6328
Albany,6330
Albany,6333
Albany,6338
Armadale,6076
Armadale,6110
Armadale,6111
Armadale,6112
Armadale,6121
Armadale,6122
Armadale,6124
Armadale,6155
Armadale,6164
Armadale,6304
Armadale,6308
Ashburton,6642
Ashburton,6701
Ashburton,6705
Ashburton,6707
Ashburton,6710
Ashburton,6714
Ashburton,6716
Ashburton,6721
Ashburton,6722
Ashburton,6751
Ashburton,6753
Ashburton,6754
Augusta-Margaret River,6275
Augusta-Margaret River,6280
Augusta-Margaret River,6284
Augusta-Margaret River,6285
Augusta-Margaret River,6286
Augusta-Margaret River,6288
Augusta-Margaret River,6290
Bassendean,6053
Bassendean,6054
Bassendean,6055
Bassendean,6062
Bayswater,6050
Bayswater,6051
Bayswater,6052
Bayswater,6053
Bayswater,6054
Bayswater,6059
Bayswater,6062
Bayswater,6063
Belmont,6055
Belmont,6058
Belmont,6100
Belmont,6101
Belmont,6103
Belmont,6104
Belmont,6105
Belmont,6106
Beverley,6111
Beverley,6302
Beverley,6304
Beverley,6306
Beverley,6308
Beverley,6383
Boddington,6213
Boddington,6215
Boddington,6220
Boddington,6225
Boddington,6308
Boddington,6390
Boddington,6391
Boyup Brook,6225
Boyup Brook,6239
Boyup Brook,6244
Boyup Brook,6251
Boyup Brook,6255
Boyup Brook,6258
Boyup Brook,6392
Boyup Brook,6393
Boyup Brook,6394
Boyup Brook,6396
Bridgetown-Greenbushes,6244
Bridgetown-Greenbushes,6251
Bridgetown-Greenbushes,6253
Bridgetown-Greenbushes,6254
Bridgetown-Greenbushes,6255
Bridgetown-Greenbushes,6256
Bridgetown-Greenbushes,6258
Bridgetown-Greenbushes,6275
Brookton,6304
Brookton,6306
Brookton,6308
Brookton,6373
Brookton,6383
Broomehill-Tambellup,6317
Broomehill-Tambellup,6318
Broomehill-Tambellup,6320
Broomehill-Tambellup,6322
Broomehill-Tambellup,6335
Broomehill-Tambellup,6338
Broomehill-Tambellup,6395
Broome,6721
Broome,6725
Broome,6726
Broome,6728
Broome,6762
Bruce Rock,6368
Bruce Rock,6369
Bruce Rock,6373
Bruce Rock,6375
Bruce Rock,6383
Bruce Rock,6386
Bruce Rock,6410
Bruce Rock,6413
Bruce Rock,6415
Bruce Rock,6418
Bunbury,6229
Bunbury,6230
Bunbury,6232
Bunbury,6233
Bunbury,6236
Bunbury,6237
Busselton,6237
Busselton,6239
Busselton,6271
Busselton,6275
Busselton,6280
Busselton,6281
Busselton,6282
Busselton,6284
Busselton,6285
Cambridge,6005
Cambridge,6007
Cambridge,6008
Cambridge,6010
Cambridge,6014
Cambridge,6015
Cambridge,6016
Cambridge,6018
Cambridge,6019
Canning,6101
Canning,6102
Canning,6105
Canning,6106
Canning,6107
Canning,6108
Canning,6147
Canning,6148
Canning,6149
Canning,6152
Canning,6153
Canning,6155
Canning,6164
Capel,6230
Capel,6236
Capel,6237
Capel,6239
Capel,6271
Capel,6280
Carnamah,6514
Carnamah,6515
Carnamah,6517
Carnamah,6518
Carnamah,6519
Carnamah,6525
Carnamah,6623
Carnarvon,6532
Carnarvon,6701
Carnarvon,6705
Carnarvon,6707
Carnarvon,6710
Chapman Valley,6530
Chapman Valley,6532
Chapman Valley,6535
Chapman Valley,6536
Chapman Valley,6628
Chapman Valley,6630
Chittering,6037
Chittering,6084
Chittering,6501
Chittering,6502
Chittering,6503
Chittering,6505
Chittering,6509
Chittering,6566
Chittering,6567
Claremont,6009
Claremont,6010
Claremont,6011
Cockburn,6112
Cockburn,6121
Cockburn,6149
Cockburn,6150
Cockburn,6155
Cockburn,6161
Cockburn,6162
Cockburn,6163
Cockburn,6164
Cockburn,6165
Cockburn,6166
Cockburn,6167
Cockburn,6168
Collie,6220
Collie,6224
Collie,6225
Collie,6226
Collie,6236
Collie,6239
Collie,6244
Collie,6390
